text,link
"FRONT PAGE An article on Tuesday, about the differing goals that have emerged among women’s groups since the 2017 protests that followed President Trump’s inauguration, misspelled the surname of a sociology professor at Oakland University. She is Jo Reger, not Roger. • A map with an article on Sunday about uranium mining near the Bears Ears National Monument showed an incorrect location for the Daneros Mine. As the article correctly noted, the mine is outside the current boundaries of protected land, not inside. INTERNATIONAL An article on Sunday about Haitian migrants in Canada described incorrectly regulations on face veils in Quebec. While the government in 2017 barred people wearing face coverings from using public services or working in government jobs, it did not ban full-face veils in public spaces. NATIONAL An article on Monday about reaction among black churchgoers to President Trump’s disparaging comments on immigrants misidentified the church leader at the Metropolitan African Methodist Episcopal Church in Washington who led worshipers in the song “We Shall Overcome.” It was the church’s music director, Marty Austin Lamar, not the pastor, the Rev. William H. Lamar IV (the two men are brothers). NEW YORK A Critic’s Notebook on Saturday about a review of public monuments misidentified the city where protesters pulled down a Confederate statue in the wake of a white nationalist rally in Charlottesville, Va., last August. It was in Durham, N.C., not Charlottesville. BUSINESS DAY An article on Jan. 10 about a memo to the Trump administration written by Robert E. Murray, the head of the country’s largest coal mining company, misstated the number of suggested actions in his memo. It had 16 recommendations, not 14. THE ARTS A theater review on Enda Walsh’s “Disco Pigs” gave the incorrect name for the setting of the play. It is Cork, not Park City; the characters in the play refer to it as Pork City. Errors are corrected during the press run whenever possible, so some errors noted here may not have appeared in all editions. To contact the newsroom regarding correction requests, complaints or other comments about our coverage, please email nytnews@nytimes.com or call 1-844-NYT-NEWS (1-844-698-6397). Comments on editorials may be emailed to letters@nytimes.com or faxed to (212) 556-3622. For newspaper delivery questions: 1-800-NYTIMES (1-800-698-4637) or email customercare@nytimes.com. ",https://www.nytimes.com/2018/01/16/pageoneplus/corrections-january-17-2018.html?searchResultPosition=110
"The political news cycle is fast, and keeping up can be overwhelming. Trying to find differing perspectives worth your time is even harder. That’s why we have scoured the internet for political writing from the right and left that you might not have seen. Has this series exposed you to new ideas? Tell us how. Email us at ourpicks@nytimes.com. For an archive of all the Partisan Writing Roundups, check out Our Picks. John Daniel Davidson in The Federalist: Mr. Davidson turns the conversation around the president’s words toward American exceptionalism. It is not because “Americans are uniquely virtuous or somehow better than people from poor countries,” but because the American “system of government and the constitutional order our founding fathers bequeathed us” make the United States a country worth immigrating to, he writes. That is why, he says, so many immigrants from those countries “come to America and prosper.” Read more » _____ Pat Buchanan in Townhall: You cannot escape race in the immigration debate, Mr. Buchanan argues, while pointing to the demographic composition of the two major political parties. “Americans have the sovereign right to discriminate in favor of some continents, countries and cultures, and against others,” Mr. Buchanan further argues, “in a tradition as old as the Republic.” A tradition he reviews carefully. Read more » ",https://www.nytimes.com/2018/01/16/us/politics/right-and-left-react-to-president-trumps-comments-on-immigration.html?searchResultPosition=109
"New York Times reporters and editors are highlighting great stories from around the web. You can receive What We’re Reading by email, and let us know how you like it at wwr@nytimes.com. From Cornell Law School: Many liberties were taken in “The Post,” the Steven Spielberg movie on the publishing of the Pentagon Papers. But the movie stuck to reality when it described how the Supreme Court sided with the press and not the Nixon administration in what was a cliffhanger of a legal battle. It’s worth reading Justice Hugo Black’s triumphant words. — Marc Lacey, associate masthead editor, National _____ From The New York Times: The fight over DACA continues this week, while President Trump’s inflammatory comments continue to drive online conversation. Writers from the left, right and center voiced differing opinions on the president’s immigration preferences and what role ethnicity should play in policymaking. — Justin Bank, senior editor, internet and audience _____ From Vulture: It’s a rare treat when Terry Gross, NPR’s queen of interviews, allows someone to flip the script and question her. In her interview with Vulture, she’s remarkably candid about her views on Louis C.K. and how she tries to avoid potentially problematic guests. — Michael Gold, social media strategy editor _____ From James Clear: Can the laws of physics serve as a guide to productivity? That’s the argument made here, in which James Clear uses Newton’s ideas as helpful analogies to becoming — and staying — more productive. To wit: “Objects in motion tend to stay in motion. Find a way to get started in less than 2 minutes.” — Tim Herrera, Smarter Living editor _____ From The Atlantic: A brilliant look back to 1968 in photos — 50 years ago, at the height of the civil rights movement, the Vietnam War and escalating tensions between the United States and the Soviet Union. It’s a reminder of exactly how strange the world used to be, even while we look around today and remark the same. — Alan Henry, Smarter Living editor _____ From Slate: I’m listening to the Slate podcast “Slow Burn”: a Podcast about Watergate. It’s filled with the most interesting and arcane details about a crazy time — Southern drawls and forcibly tranquilized wives — but more than that, it reminds you what those of us who were born after the Nixon presidency didn’t know: that even when a scandal is totally public and egregious, it takes a long time to clean it up. It’s a strange form of comfort in rough times, but I’ll take it. — Taffy Brodesser-Akner, features writer, Culture and staff writer, Magazine _____ ",https://www.nytimes.com/2018/01/16/insider/what-were-reading.html?searchResultPosition=108
"Over a three-day weekend at his private club in Palm Beach, Fla., President Trump showed little or no concern about the angry reaction set off by his use of obscenities to describe the third world countries he fears immigrants could come from under a new immigration bill. His base loved what he said, he told guests at the club, Mar-a-Lago, a refrain he repeated in phone calls over the holiday weekend. But back in Washington on Tuesday, his advisers and congressional allies have tried to limit the fallout from his remarks in an Oval Office meeting last week, insisting that he had never described the countries as “shitholes.” Some who had been in the meeting said they had not heard his descriptions. Others insisted in background conversations with reporters that they were told the word he had spoken was “shithouse,” a phrase that he often uses to describe physical structures that he finds unsavory. It was an unusual debate over words that until last Thursday had rarely, if ever, appeared in any mainstream news media. And if the argument seemed to amount to a distinction without a difference, neither the White House nor its allies have publicly acknowledged it, although some Trump aides have privately. There has also not been any acknowledgment that both words, as well as reports of Mr. Trump’s stated preference for immigrants from places like Norway, were offensive and many considered them racist. Sarah Huckabee Sanders, Mr. Trump’s press secretary, conceded to reporters on Tuesday that Mr. Trump “hasn’t said he didn’t use strong language.” “He’s passionate about it,” she said. “He’s not going to apologize for trying to fix our immigration system.” But the dispute among the president’s defenders about the vulgarity he actually used did nothing to allay critics. “I think it’s all the same,” said Representative Cedric L. Richmond, Democrat of Louisiana and the chairman of the Congressional Black Caucus, which Mr. Trump also mentioned dismissively during the Oval Office meeting, according to one participant. ",https://www.nytimes.com/2018/01/16/us/politics/trump-vulgarity-debate.html?searchResultPosition=107
"WASHINGTON — The commanding officers of two Naval destroyers that collided with commercial vessels in the western Pacific last year, killing a total of 17 American sailors, will face court-martial charges that could include negligent homicide, the Navy said on Tuesday. After the collisions, the commanding officers, Cmdr. Bryce Benson of the Fitzgerald, and Cmdr. Alfredo J. Sanchez of the John S. McCain, along with their second-in-commands, were relieved of their duties. In October, the Navy began looking into further disciplinary actions. Adm. Frank Caldwell, one of the lead officers assigned to the investigation, determined that the charges could include dereliction of duty, hazarding a vessel and negligent homicide, the Navy said in a statement. In the coming weeks, the two commanding officers and three other sailors aboard the Fitzgerald will most likely be charged during a hearing that determines whether they will be taken to trial in a court-martial. If found guilty, they could face jail time. The announcement of a hearing and of court-martial charges “is not intended to and does not reflect a determination of guilt or innocence related to any offenses,” the statement said. A chief petty officer from the John S. McCain has already been referred to court-martial on suspicion of dereliction of duty; eight other crew members, four from each ship, face administrative actions. Vice Adm. Joseph P. Aucoin, the head of the Seventh Fleet, the Navy’s largest overseas, and other senior officers were also relieved last year after the collisions. In November, the Navy released reports about the June 17 collision between the Fitzgerald and a commercial ship that killed seven sailors off Japan and the Aug. 21 collision between the John S. McCain and another commercial vessel that left 10 dead near Singapore. The Navy concluded that both collisions resulted from a chain of errors, missed warnings and poor training. “The collisions were avoidable,” Adm. John M. Richardson, the chief of naval operations, said in a summary of the reports, released in November. Admiral Richardson and the secretary of the Navy, Richard V. Spencer, are set to appear in front of two subcommittees of the House Armed Services on Thursday, focusing extensively on naval operations. ",https://www.nytimes.com/2018/01/16/us/politics/navy-discipline-destroyer-collisions.html?searchResultPosition=106
"Want the latest climate news in your inbox? You can sign up here to receive Climate Fwd:, our new email newsletter. WASHINGTON — The majority of members of the National Parks System Advisory Board, which advises the federal government on management of the country’s national parks, have jointly resigned to protest Trump administration policies that the board members say have ignored science, squelched efforts to address climate change and undermined environmental protections. The advisory board was established in 1935 to advise the secretary of the interior, who oversees management of the country’s national parks and monuments. Since taking office last year, Interior Secretary Ryan Zinke has come under criticism from environmental advocates for promoting President Trump’s agenda of opening up the nation’s public lands and waters to fossil-fuel exploration, and for reducing the protection of public monuments. This month Mr. Zinke announced a plan to open up the majority of the nation’s coastlines to offshore drilling. And in December, the administration reduced the size of two national monuments in Utah, Bears Ears and Grand Staircase-Escalante, by some two million acres, the largest rollback of federal land protection in the nation’s history. “From all of the events of this past year I have a profound concern that the mission of stewardship, protection, and advancement of our National Parks has been set aside,” wrote Tony Knowles, the head of the advisory board, in a resignation letter dated Monday that was co-signed by eight other members of the 12-member panel. The Washington Post first reported the letter. “We resigned because we were deeply disappointed with the department and we were concerned,” Mr. Knowles said in an interview. Mr. Zinke, he said, “appears to have no interest in continuing the agenda of science, the effect of climate change, pursuing the protection of the ecosystem.” Mr. Knowles said that Mr. Zinke has refused to meet with his board during his tenure. Phil Francis, chairman of the Coalition to Protect America’s National Parks, an advocacy group of current and former national park employees, said Tuesday evening, “This discourteous and disrespectful treatment of the Board is inexcusable and, unfortunately, consistent with a decidedly anti-park pattern demonstrated by Secretary Zinke’s department.” An Interior Department spokeswoman did not respond to an emailed request for comment. Mr. Zinke has sought to portray himself as a champion of national parks and has compared himself to Theodore Roosevelt, the founder of the national parks system. The resignations come amid growing concern by scientists that their voices are being suppressed by the Trump administration. Last May, the Environmental Protection Agency dismissed several members of its Board of Scientific Counselors in a move that Trump administration officials said was designed to give greater voice to industry interests in the agency. ",https://www.nytimes.com/2018/01/16/climate/trump-national-parks.html?searchResultPosition=105
"WASHINGTON — American troops will remain in Syria long after their fight against the Islamic State to ensure that neither Iran nor President Bashar al-Assad of Syria take over areas that have been newly liberated with help from the United States, Secretary of State Rex W. Tillerson said on Wednesday. Staying in Syria, Mr. Tillerson said, will help ensure that the Trump administration does not repeat what he described as the mistakes of former President Barack Obama, who withdrew troops from Iraq before the extremist threat was doused and failed to stabilize Libya after NATO airstrikes that led to the overthrow of Col. Muammar el-Qaddafi. “We cannot allow history to repeat itself in Syria,” Mr. Tillerson said during a speech at the Hoover Institution at Stanford University near San Francisco. “ISIS has one foot in the grave, and by maintaining an American military presence in Syria until the full and complete defeat of ISIS is achieved, it will soon have two.” ISIS is another name for the Islamic State. There were roughly 2,000 American troops in Syria last month, a mix of engineering units that build fortifications and Special Operations units that fight and train with local militias. Additionally, American military contractors in Syria help demine recaptured areas as the Islamic State is pushed back. Mr. Tillerson’s comments were the first time a senior Trump administration official pledged to keep American troops in Syria well after the current battle ends. They also marked another step in President Trump’s gradual evolution from a populist firebrand who promised to extricate the United States from foreign military entanglements to one who is grudgingly accepting many of the national security strategies he once derided. During the presidential campaign, Mr. Trump said that “at some point, we cannot be the policeman of the world.” ",https://www.nytimes.com/2018/01/17/world/middleeast/tillerson-troops-syria-islamic-state.html?searchResultPosition=74
"COLUMBUS, Ohio — Four weeks before delegates meet to elect the next president of the United States Soccer Federation, Eric Wynalda was in Columbus, Ohio, on Sunday to address the state of soccer in a town hall before about 100 angry fans of the local Major League Soccer team. It was unlikely that anybody in attendance had a vote in the election, but that did not matter to Wynalda. In a crowded field of eight candidates, Wynalda, 48, has positioned himself as the voice of the frustrated American soccer fan, a surging demographic since the men’s national team failed to qualify for this summer’s World Cup. But in that populist role, he has challenged the very pillars upon which soccer in this country has been painstakingly built over the past three decades. His candidacy has been called Trump-like. Wynalda rejects the label, but he also has spent months eviscerating the very organization he hopes to soon lead, and he has insisted that he alone has the skills to run an organization with more than $125 million in annual revenues most effectively, even though he spent part of the last decade warding off creditors during a period of personal financial turbulence revealed by public records and not previously reported. Except for having a bit of a temper — Wynalda was shown a red card in his first World Cup game — his soccer credentials are unimpeachable. Wynalda played in three World Cups, and for professional teams in Germany’s Bundesliga and Major League Soccer, before he became television analyst and lower-division manager. It is the rest of the résumé his detractors say is lacking. Wynalda’s critics point out his campaign is being financed in part by a minor-league owner who is locked in a legal battle with U.S. Soccer, and they say he has little experience to prepare him for the task of running an organization with more than 170 employees and multi-million-dollar contracts with some of the biggest entities in sports, including Nike and ESPN. According to public records, Wynalda filed for personal bankruptcy in 2009, and subsequently had significant liens placed against his assets as recently as three years ago. He said the liens were filed in error and were discharged without his having to pay any additional taxes or penalties. ",https://www.nytimes.com/2018/01/17/sports/soccer/eric-wynalda.html?searchResultPosition=77
"HONG KONG — North and South Korea agreed on Wednesday to march their athletes together under one flag at the opening ceremony of the Winter Olympics next month and to field a joint women’s ice hockey team. It was the most dramatic gesture of reconciliation between them in a decade. South Korea, host of the games, has said it hopes such a partnership in sports could contribute to a political thaw after years of high tensions. It came even as the prospect of war over the North’s nuclear and missile tests has grown especially acute. The Games will begin on Feb. 9 in Pyeongchang, South Korea, and the women’s ice-hockey squad will be the first combined Korean team for the Olympics, and the first unified team since their athletes played together for an international table-tennis championship and a youth soccer tournament in 1991. The two countries’ delegations will march at the opening ceremony behind a “unified Korea” flag that shows an undivided Korean Peninsula, negotiators from both sides said in a joint news release after talks at the border village of Panmunjom. The North will send 230 supporters to the Games, and negotiators agreed that supporters of both Koreas would root together for athletes from both countries. The prospect of North and South Koreans cheering together offers a stunning contrast to the bombastic rhetoric of possible war from North Korea’s leader, Kim Jong-un and President Trump of the United States, South Korea’s main ally. Mr. Trump has threatened the North with “fire and fury like the world has never seen” should it put the security of Americans and their allies at risk. Mr. Kim has called Mr. Trump a lunatic. ",https://www.nytimes.com/2018/01/17/world/asia/north-south-korea-olympics.html?searchResultPosition=86
"This article is part of the Opinion Today newsletter. You can sign up here to receive the newsletter each weekday. I’m going to take a break from All Things Trump this morning to talk about two important misperceptions in American life: The Flu. If you’re like most American adults, you haven’t gotten a flu vaccine this year. Maybe you think you don’t need one, because you’re not elderly or a child. Or maybe you think it’s too late. But none of that is correct. You should get a flu vaccine every year — for your own sake and for the sake of public health — and it’s not too late to get one this year. Flu season remains near its peak through February, and the flu remains a risk well after that, as Aaron Carroll, an Indiana University medical professor, told me yesterday. Carroll has written two recent Times pieces making the case for taking the flu seriously. It’s the country’s eighth-leading cause of death. And getting a vaccine is easy: “You can get a flu shot at most doctors’ offices and clinics, health departments, many pharmacies, health centers, and often at your work or school,” Carroll says. “The C.D.C. has a vaccine locator tool.” College Costs. Many people believe that college costs more than it actually does. Average net tuition at community colleges is less than zero — seriously — once financial aid is taken into account. Average in-state tuition at public colleges will be just $4,140 this year. And many elite private colleges cover much of their sky-high list-price tuition through scholarships. Yet many middle-class and low-income families believe tuition will cost them tens of thousands of dollars a year. This misperception has a serious downside. It keeps some people from attending college, even though the financial (and nonfinancial) benefits of a degree are enormous. Fortunately, a growing number of colleges are starting to take tuition misperceptions seriously. Sixteen top colleges are announcing this morning that they’re joining an effort called MyIntuition — an online calculator that lets people answer just a few questions, anonymously, and receive an estimate of how much attending each college would cost. The 16 include Boston College, Brown, Davidson, Duke, Johns Hopkins, Northwestern, St. Olaf and Yale. They’ve joined 15 others that already participate. The calculator was created by Phillip Levine, an economist at Wellesley College. The Boston Globe named the calculator one of 2017’s “bold new ideas,” and administrators at Dartmouth say it has helped them attract more low-income applicants. I’ve written about it before, with more details here and here. The calculator is remarkably easy to use, far easier than other financial-aid tools. If you have a child nearing college age, or you’re simply curious, give it a whirl — with real or hypothetical information. ",https://www.nytimes.com/2018/01/17/opinion/flu-shot-college-costs.html?searchResultPosition=85
