title,link,date,section
Text to Text: On Empathy and ‘Moral Imagination’,https://www.nytimes.com/2017/01/25/learning/lesson-plans/text-to-text-on-empathy-and-moral-imagination.html?searchResultPosition=104,2017/01/25,LESSON PLANS
Greenpeace Activists Arrested After Hanging ‘Resist’ Banner in View of White House,https://www.nytimes.com/2017/01/25/us/greenpeace-resist-banner-protest-trump.html?searchResultPosition=109,2017/01/25,U.S.
Trump Orders Mexican Border Wall to Be Built and Plans to Block Syrian Refugees,https://www.nytimes.com/2017/01/25/us/politics/refugees-immigrants-wall-trump.html?searchResultPosition=108,2017/01/25,POLITICS
Trump Prepares Orders Aiming at Global Funding and Treaties,https://www.nytimes.com/2017/01/25/us/politics/united-nations-trump-administration.html?searchResultPosition=107,2017/01/25,POLITICS
A High School Defaced With ‘Trump’ and Swastikas,https://www.nytimes.com/2017/01/25/opinion/a-high-school-defaced-with-trump-and-swastikas.html?searchResultPosition=106,2017/01/25,OPINION
The Man Who Dressed Melania Trump for the Ball,https://www.nytimes.com/2017/01/25/fashion/melania-trump-inauguration-gown-designer-herve-pierre.html?searchResultPosition=110,2017/01/25,FASHION
How Antonin Scalia’s Ghost Could Block Donald Trump’s Wall,https://www.nytimes.com/2017/01/25/opinion/how-antonin-scalias-ghost-could-block-donald-trumps-wall.html?searchResultPosition=105,2017/01/25,OPINION
"Rejecting the Wall ‘Is Too Emotional,’ and Other Voices From the Border",https://www.nytimes.com/2017/01/25/us/texas-border-wall-reaction.html?searchResultPosition=80,2017/01/25,U.S.
‘It Is Unacceptable’: Ethics Doubts Swirl as Trump Club Doubles Fee,https://www.nytimes.com/2017/01/25/us/politics/mar-a-lago-membership-donald-trump.html?searchResultPosition=81,2017/01/25,POLITICS
South Dakota Legislators Seek Hasty Repeal of Ethics Law Voters Passed,https://www.nytimes.com/2017/01/25/us/south-dakota-repeal-ethics-law-vote.html?searchResultPosition=82,2017/01/25,U.S.
"Trump Orders a Wall Built, but Congress Holds the Checkbook",https://www.nytimes.com/2017/01/25/us/politics/donald-trump-mexico-border-wall-congress.html?searchResultPosition=83,2017/01/25,POLITICS
Leaked Draft of Executive Order Could Revive C.I.A. Prisons,https://www.nytimes.com/2017/01/25/us/politics/executive-order-leaked-draft-national-security-trump-administration.html?searchResultPosition=84,2017/01/25,POLITICS
The Real Cost of Mr. Trump’s Wall,https://www.nytimes.com/2017/01/25/opinion/the-real-cost-of-mr-trumps-wall.html?searchResultPosition=85,2017/01/25,OPINION
Goldman’s $285 Million Package for Gary Cohn Is Questioned,https://www.nytimes.com/2017/01/25/business/dealbook/goldman-sachs-gary-cohn-285-million-departure-package.html?searchResultPosition=86,2017/01/25,DEALBOOK
‘Sanctuary City’ Mayors Vow to Defy Trump’s Immigration Order,https://www.nytimes.com/2017/01/25/nyregion/outraged-mayors-vow-to-defy-trumps-immigration-order.html?searchResultPosition=87,2017/01/25,NEW YORK
Drama as Protest: ‘Our Complacency Is Dangerous’,https://www.nytimes.com/2017/01/25/theater/wallace-shawn-evening-at-the-talk-house.html?searchResultPosition=103,2017/01/25,THEATER
States Vie to Be Part of Trillion-Dollar Infrastructure Spending Sprees,https://www.nytimes.com/2017/01/25/us/donald-trump-infrastructure-spending-trillion-dollars-states.html?searchResultPosition=89,2017/01/25,U.S.
Trump’s Voter Fraud Example? A Troubled Tale With Bernhard Langer,https://www.nytimes.com/2017/01/25/us/politics/trump-bernhard-langer-voting-fraud.html?searchResultPosition=98,2017/01/25,POLITICS
A Punch List for Public Repairs,https://www.nytimes.com/2017/01/25/us/donald-trump-infrastructure-punch-list-public-repairs.html?searchResultPosition=88,2017/01/25,U.S.
"Donald Trump, Mary Tyler Moore, North Korea: Your Wednesday Evening Briefing",https://www.nytimes.com/2017/01/25/briefing/donald-trump-mary-tyler-moore-north-korea.html?searchResultPosition=97,2017/01/25,BRIEFING
The Redemption Narrative in the 2017 Oscar Nominations,https://www.nytimes.com/2017/01/25/movies/hollywood-oscars-la-la-land-diversity-redemption.html?searchResultPosition=99,2017/01/25,MOVIES
"Sent Home for Not Wearing Heels, She Ignited a British Rebellion",https://www.nytimes.com/2017/01/25/world/europe/high-heels-british-inquiry-dress-codes-women.html?searchResultPosition=100,2017/01/25,EUROPE
"Reagan, Trump, and Manufacturing",https://krugman.blogs.nytimes.com/2017/01/25/reagan-trump-and-manufacturing/?searchResultPosition=102,2017/01/25,OPINION
"The Dow Hit 20,000. Now What?",https://www.nytimes.com/2017/01/25/business/dealbook/dow-20000-stock-market-milestone.html?searchResultPosition=101,2017/01/25,DEALBOOK
"In Race Against Fake News, Google and Facebook Stroll to the Starting Line",https://www.nytimes.com/2017/01/25/technology/google-facebook-fake-news.html?searchResultPosition=95,2017/01/25,TECHNOLOGY
"Corrections: January 25, 2017",https://www.nytimes.com/2017/01/25/pageoneplus/corrections-january-25-2017.html?searchResultPosition=94,2017/01/25,CORRECTIONS
