,title,link,date,section,text
0,Text to Text: On Empathy and ‘Moral Imagination’,https://www.nytimes.com/2017/01/25/learning/lesson-plans/text-to-text-on-empathy-and-moral-imagination.html?searchResultPosition=104,2017/01/25,LESSON PLANS,"Browse all our Text to Text lesson plans. Can empathy, the ability to understand and share the feelings of another, help make us better people? Can it help make the world a better place? If we could gain a deeper sense of what it’s like to be somebody different from us — from a different part of the world, from the other side of the tracks, with a different skin color, religion or gender — would we become more generous, understanding or compassionate people? Can empathy help bridge the divides that fracture us as a nation and world? In this Text to Text, Jennifer Finney Boylan’s personal essay “Bring Moral Imagination Back in Style” and Nicholas Kristof’s Op-Ed “How Do We Increase Empathy?” take on those questions. Both pieces acknowledge that while learning to feel empathy may be challenging, it is a skill worth nurturing. _________ Background To become stronger, better, faster and more competitive athletes, we need to work out and practice. We need to exercise. We need to stretch, sweat and push our way out of our comfort zones to achieve a higher level of skill and performance. But what about the muscles needed to be an empathetically fit human being? How do we exercise those? And how do we create opportunities for greater compassion and empathy in our world? "
1,Greenpeace Activists Arrested After Hanging ‘Resist’ Banner in View of White House,https://www.nytimes.com/2017/01/25/us/greenpeace-resist-banner-protest-trump.html?searchResultPosition=109,2017/01/25,U.S.,"Seven environmental activists who climbed a crane near the White House early Wednesday morning in a protest against the policies of President Trump were arrested and charged, the police said on Thursday. The protesters, who volunteer for Greenpeace, began scaling the approximately 300-foot crane around 4 in the morning, and once they reached the top, unfurled a 70-by-35-foot banner embossed with a single word: “RESIST.” Travis Nichols, a spokesman for Greenpeace, the environmental advocacy organization, said the protesters were there “to resist the environmental, economic and racial injustice that Trump and his administration have already laid out and put into practice.” Mr. Nichols said they wanted to be sure that the banner would be visible from the White House. “Obviously, I have no idea if Trump has seen it, but that would be great if he did,” he said. In his first week in office, Mr. Trump’s administration instructed officials at the Environmental Protection Agency to freeze grants and contracts, and, according to Reuters, ordered the agency to remove the climate change page from its website. Mr. Trump has also resurrected the Keystone and Dakota Access pipeline projects that have been the subject of virulent protests by environmental activists. The Metropolitan Police Department said the protest led to street closings near the White House and snarled traffic. The seven protesters were arrested and charged with second-degree burglary, unlawful entry and destruction of property, according to a police statement, UPI reported. The crane, owned by Miller and Long D.C., is parked at a construction site three blocks north of the White House, Mr. Nichols said. The activists unfurled the banner about 9 a.m., he said. By 1 p.m., they began their descent, and reached ground after 10 p.m., when they were detained, the police said. The White House did not immediately respond on Wednesday to a request for comment. “I am, to a large extent, an environmentalist, I believe in it,” Mr. Trump said in a meeting with auto industry executives on Tuesday. “But it’s out of control.” Almost all mention of climate change has been removed from the White House website. "
2,Trump Orders Mexican Border Wall to Be Built and Plans to Block Syrian Refugees,https://www.nytimes.com/2017/01/25/us/politics/refugees-immigrants-wall-trump.html?searchResultPosition=108,2017/01/25,POLITICS,"WASHINGTON — President Trump on Wednesday began a sweeping crackdown on illegal immigration, ordering the immediate construction of a border wall with Mexico and aggressive efforts to find and deport unauthorized immigrants. He planned additional actions to cut back on legal immigration, including barring Syrian refugees from entering the United States. At the headquarters of the Department of Homeland Security, Mr. Trump signed a pair of executive orders that paved the way for a border wall and called for a newly expanded force to sweep up immigrants who are in the country illegally. He revived programs that allow the federal government to work with local and state law enforcement agencies to arrest and detain unauthorized immigrants with criminal records and to share information to help track and deport them. He also planned to clamp down on legal immigration in another action expected as early as Thursday. An eight-page draft of that executive order, obtained by The New York Times, would indefinitely block Syrian refugees from entering the United States and bar all refugees from the rest of the world for at least 120 days. When the refugee program resumes, it would be much smaller, with the total number of refugees resettled in the United States this year more than halved, to 50,000 from 110,000. It would also suspend any immigration for at least 30 days from a number of predominantly Muslim countries — Iran, Iraq, Libya, Somalia, Sudan, Syria and Yemen — while the government toughened its already stringent screening procedures to weed out potential terrorists. White House officials declined to comment on the coming plan, but in a wide-ranging interview that aired Wednesday on ABC, Mr. Trump acknowledged that it aimed to erect formidable barriers for those seeking refuge in the United States. "
3,Trump Prepares Orders Aiming at Global Funding and Treaties,https://www.nytimes.com/2017/01/25/us/politics/united-nations-trump-administration.html?searchResultPosition=107,2017/01/25,POLITICS,"WASHINGTON — The Trump administration is preparing executive orders that would clear the way to drastically reduce the United States’ role in the United Nations and other international organizations, as well as begin a process to review and potentially abrogate certain forms of multilateral treaties. The first of the two draft orders, titled “Auditing and Reducing U.S. Funding of International Organizations” and obtained by The New York Times, calls for terminating funding for any United Nations agency or other international body that meets any one of several criteria. Those criteria include organizations that give full membership to the Palestinian Authority or Palestine Liberation Organization, or support programs that fund abortion or any activity that circumvents sanctions against Iran or North Korea. The draft order also calls for terminating funding for any organization that “is controlled or substantially influenced by any state that sponsors terrorism” or is blamed for the persecution of marginalized groups or any other systematic violation of human rights. The order calls for then enacting “at least a 40 percent overall decrease” in remaining United States funding toward international organizations. The order establishes a committee to recommend where those funding cuts should be made. It asks the committee to look specifically at United States funding for peacekeeping operations; the International Criminal Court; development aid to countries that “oppose important United States policies”; and the United Nations Population Fund, which oversees maternal and reproductive health programs. "
4,A High School Defaced With ‘Trump’ and Swastikas,https://www.nytimes.com/2017/01/25/opinion/a-high-school-defaced-with-trump-and-swastikas.html?searchResultPosition=106,2017/01/25,OPINION,      
5,The Man Who Dressed Melania Trump for the Ball,https://www.nytimes.com/2017/01/25/fashion/melania-trump-inauguration-gown-designer-herve-pierre.html?searchResultPosition=110,2017/01/25,FASHION,     
6,How Antonin Scalia’s Ghost Could Block Donald Trump’s Wall,https://www.nytimes.com/2017/01/25/opinion/how-antonin-scalias-ghost-could-block-donald-trumps-wall.html?searchResultPosition=105,2017/01/25,OPINION,"President Trump may stumble on an unexpected obstacle as he tries to build a wall along the Mexican border: Antonin Scalia. This may seem surprising, considering that Mr. Trump has called him a “great” justice. But in one of his last opinions, Justice Scalia supplied a powerful weapon to resist Mr. Trump’s plans for a border wall. Justice Scalia’s June 2015 opinion in Michigan v. Environmental Protection Agency may not seem helpful at first sight. It blocked an E.P.A. rule that would have limited mercury emissions from power plants. The Clean Air Act instructs the E.P.A. to issue “appropriate and necessary” regulations, and Justice Scalia said that language required the E.P.A. to consider the costs of its proposed rules, which it did not properly do. “No regulation is ‘appropriate’ if it does significantly more harm than good,” Justice Scalia wrote. And even though the final vote in the case was 5-4, all nine members of the court agreed that the E.P.A. could not ignore the costs of its actions when deciding whether or how stringently to regulate. Why is Justice Scalia’s opinion an obstacle to President Trump’s wall-building plans? Mr. Trump is reported to be planning to rely on a law called the Secure Fence Act of 2006 as a source of statutory authority for the wall — apparently to avoid asking Congress to pass a new statute, which could be filibustered by Senate Democrats. But the 2006 law authorizes the secretary of homeland security only to take actions to secure the border that are “necessary and appropriate.” These are the same words (in the opposite order) the Supreme Court interpreted in Michigan v. E.P.A. As Justice Scalia said, it would not be “appropriate” to “impose billions of dollars in economic costs in return for a few dollars” in benefits. President Trump’s proposed wall would certainly cost billions of dollars: He says $8 billion, while more realistic estimates put the price tag at $15 billion to $25 billion (and $500 million per year for upkeep). "
7,"Rejecting the Wall ‘Is Too Emotional,’ and Other Voices From the Border",https://www.nytimes.com/2017/01/25/us/texas-border-wall-reaction.html?searchResultPosition=80,2017/01/25,U.S.,   
8,‘It Is Unacceptable’: Ethics Doubts Swirl as Trump Club Doubles Fee,https://www.nytimes.com/2017/01/25/us/politics/mar-a-lago-membership-donald-trump.html?searchResultPosition=81,2017/01/25,POLITICS,"On the same day that the Trump Organization announced its appointment of two ethics monitors to advise on potential conflicts of interest, it faced a new ethical quandary: Is it right to double the price of the initiation fee at Mar-a-Lago, the Trump family’s private club in Florida, or would that be seen as cashing in on President Trump’s arrival in the White House? The question emerged after Bernd Lembcke, the managing director of the 118-room club in Palm Beach, Fla. — which Mr. Trump recently labeled the Winter White House — confirmed on Wednesday that the price of new memberships had increased to $200,000 from $100,000, and that applications had surged since Mr. Trump won the election in November. Mr. Lembcke’s acknowledgment came hours after the Trump Organization announced that it had named Bobby Burchfield, a longtime Republican Party lawyer and corporate litigator, as an “independent ethics adviser.” The Trump Organization pointed to the move as a sign of its commitment to addressing questions about potential conflicts of interest. “We take our role and the responsibility we have to our company, and our thousands of employees, very seriously,” Eric Trump, one of the president’s sons and an executive vice president of the Trump Organization, said in a statement announcing the appointment of Mr. Burchfield. But Robert Weissman, the president of the government ethics watchdog group Public Citizen, said the selection of Mr. Burchfield and the decision to double the Mar-a-Lago initiation fee demonstrated that the Trump Organization was unprepared to confront the ethics challenges it now faces. “At the minimum, this creates the appearance of cashing in on the presidency and selling direct personal access to the president,” Mr. Weissman said of the new Mar-a-Lago fee. “It is unacceptable. And it demeans the office of the presidency.” "
9,South Dakota Legislators Seek Hasty Repeal of Ethics Law Voters Passed,https://www.nytimes.com/2017/01/25/us/south-dakota-repeal-ethics-law-vote.html?searchResultPosition=82,2017/01/25,U.S.,       
10,"Trump Orders a Wall Built, but Congress Holds the Checkbook",https://www.nytimes.com/2017/01/25/us/politics/donald-trump-mexico-border-wall-congress.html?searchResultPosition=83,2017/01/25,POLITICS,"WASHINGTON — With Twitter posts, leaks and executive orders, President Trump is moving quickly to show he will make good on some of his key campaign pledges. Within a 24-hour period this week, he ordered or signaled significant new policies on border security, terrorism, crime and voting. But as Mr. Trump’s predecessor learned in 2009 when he ordered the military prison at Guantánamo Bay closed, implementing policy is not as easy as the stroke of a pen. Details to carry out security policies exceed Twitter’s 140-character limit and in some cases the public can only infer Mr. Trump’s plans. Here is what he has promised, and what authority he has to carry it out. No political promise came to symbolize Mr. Trump’s candidacy like his pledge to build a wall between the United States and Mexico. The costs and logistical headaches of such a project — which would cut through private property — have always been daunting, but Mr. Trump’s supporters were unfazed: “Build the wall!” they chanted. On Wednesday, Mr. Trump signed an order to build it and announced that work would begin immediately on a project that is estimated to cost more than $20 billion. "
11,Leaked Draft of Executive Order Could Revive C.I.A. Prisons,https://www.nytimes.com/2017/01/25/us/politics/executive-order-leaked-draft-national-security-trump-administration.html?searchResultPosition=84,2017/01/25,POLITICS,"WASHINGTON — It contained crossed-out phrases and typos. It said that the Sept. 11 attacks occurred in 2011, rather than a decade earlier. It was clearly not meant for public consumption. But the draft of a Trump administration executive order that spilled into public view early Wednesday — a document that raised the prospect of reviving C.I.A. “black site” prisons like those where terrorism suspects were once detained and tortured — has the potential to further fracture a national security team already divided over one of the most controversial policies of the post-9/11 era. The White House disclaimed the document, which was leaked to The New York Times and other news organizations, but three administration officials said the White House had circulated it among National Security Council staff members for review on Tuesday morning. And many of its proposals — which also include halting transfers out of the Guantánamo Bay prison and sending new detainees there, which President Barack Obama refused to do — echo years of Republican national security policy and President Trump’s own speeches. But Mr. Trump’s most extreme campaign proposal for terrorism suspects — bringing back torture, which the draft order does not call for but hovers over in its direction to review reinstating a C.I.A. interrogation program — has been disavowed by senior members of his team, most notably Defense Secretary James N. Mattis. Mr. Mattis has long opposed some of the aggressive interrogation methods used during President George W. Bush’s administration, and in his recent confirmation hearing, he said that the military should use only interrogation methods contained in the Army Field Manuals. At a Democratic caucus retreat on Wednesday, Senator Mark Warner of Virginia, the top Democrat on the Intelligence Committee, told colleagues that both Mr. Mattis and Mike Pompeo, the newly installed C.I.A. director, had told him they had no knowledge of the draft order before it became public, according to another senator present at the retreat. "
12,The Real Cost of Mr. Trump’s Wall,https://www.nytimes.com/2017/01/25/opinion/the-real-cost-of-mr-trumps-wall.html?searchResultPosition=85,2017/01/25,OPINION,"President Trump on Wednesday unveiled the first proposals to make good on his promise to make America impenetrable to unauthorized immigrants and intolerable for those who are already here. As expected, he promised to begin building a wall along the Mexican border, an enterprise that is far from certain because Congress would have to approve billions of dollars in funding. He also outlined a series of ominous regulatory changes aimed at drastically expanding the detention of immigrants who enter without permission. He is also seeking to turn more local police and corrections officials into enforcers of immigration law, while threatening to withhold funding from jurisdictions that have sensibly refused to assume that role. The steps outlined in two executive orders set the stage for incarcerating thousands of immigrants who do not represent a threat, for widespread civil rights violations and for racial profiling. At the Department of Homeland Security on Wednesday, Mr. Trump said that immigration laws “will be enforced and enforced strongly.” Mr. Trump’s anti-immigrant talk worked well on the campaign trail, as he convinced struggling Americans that foreigners were to blame for lost jobs and blighted communities. To carry out his promise of ramped-up immigration enforcement and border security, he will need to convince Congress and American taxpayers that spending billions to execute his plan is a worthy investment. As is so often the case with Mr. Trump, the facts are not on his side. Illegal immigration to the United States has been on a downward trend in recent years, even as spending on border security has soared. Between 1983 and 2006, an average of 1.2 million people a year were apprehended trying to enter the country unlawfully. In 2016, just over 415,000 were caught trying to enter; most were Central Americans fleeing violence and poverty. Meanwhile, border security funding has increased from $263 million in 1990 to $3.8 billion in 2015. "
13,Goldman’s $285 Million Package for Gary Cohn Is Questioned,https://www.nytimes.com/2017/01/25/business/dealbook/goldman-sachs-gary-cohn-285-million-departure-package.html?searchResultPosition=86,2017/01/25,DEALBOOK,"Goldman Sachs has rewarded its departing president, Gary D. Cohn, with expedited access to cash and stock payments valued at nearly $300 million, and in doing so has tacitly encouraged another of its executives to accept an influential role in Washington. Late on Tuesday, Mr. Cohn, director of the National Economic Council advising President Trump, disclosed in a securities filing that he and his family members had received ownership that day of 940,908 shares of Goldman stock — a position valued at nearly $220 million. That award came in addition to a cash payout, announced the same day, amounting to about $65 million, leaving him with a total windfall of about $285 million. Given that Mr. Cohn, 56, is required to divest his Goldman shares under federal ethics laws, “we took these actions to enable him to comply with the conflict of interest rules, just as we have done for people in the de Blasio administration,” said Jake Siewert, a company spokesman, referring to the office of Mayor Bill de Blasio of New York. Under a standing policy, Mr. Siewert added, Goldman allows departing employees who are entering government service to keep their stock. In recent weeks, someone familiar with Mr. Cohn’s financial plans said, he made substantial donations to various charities in preparation for his new job, and he is poised to sell at least some of his Goldman shares. He is drawing no salary for his work at the White House, the person added. A White House spokesman did not immediately respond to a request for comment. Goldman’s acceleration of its usual curbs on the eligibility of Mr. Cohn’s stock for sale has revived a debate over whether veterans of the firm who enter public service receive special treatment from the firm — or whether the firm receives such treatment from former employees in government. Some experts on government ethics said Goldman’s treatment of Mr. Cohn smacked of favoritism. “They’re playing a game, and they’re playing a game to make this person feel beholden to Goldman Sachs,” said Richard W. Painter, a professor at the University of Minnesota Law School and the chief White House ethics lawyer during the George W. Bush administration. Mr. Painter was among lawyers who recently sued Mr. Trump, accusing him of violating the Constitution by allowing his hotels and other business operations to accept payments from foreign governments. Mr. Trump called the suit meritless. "
14,‘Sanctuary City’ Mayors Vow to Defy Trump’s Immigration Order,https://www.nytimes.com/2017/01/25/nyregion/outraged-mayors-vow-to-defy-trumps-immigration-order.html?searchResultPosition=87,2017/01/25,NEW YORK,      
