,text
0,"Spain was hit by its worst terrorist attack in more than a decade on Thursday, when a van driver plowed into dozens of people enjoying a sunny afternoon on one of Barcelona’s most famous thoroughfares, killing at least 13 people and leaving 80 bloodied on the pavement. Hours later, the Catalan police said they foiled a second vehicular attack, in the seaside town of Cambrils, 70 miles to the south, fatally shooting four people. A fifth died later of wounds, the police said. The suspects appeared to be wearing explosive belts, though these devices were later found to be fake, police said. Six civilians and one police officer were injured during the episode, the Catalan emergency services said. The Barcelona attack was at least the sixth time in the past few years that assailants using vehicles as deadly weapons have struck a European city. The police cordoned off the Plaza de Cataluña and Las Ramblas in the heart of Barcelona, both tourist destinations, and began a chaotic pursuit for the attackers. Three people were arrested, including a Moroccan man whose identification documents had been used to rent the van. The Barcelona police said none were believed to be the driver, who escaped on foot and remained at large. "
1,"WASHINGTON — Justice Neil M. Gorsuch, President Trump’s Supreme Court appointee, is scheduled to address a conservative group at the Trump International Hotel in Washington next month, less than two weeks before the court is set to hear arguments on Mr. Trump’s travel ban. Stephen Gillers, an expert on legal ethics at New York University, questioned the justice’s decision to speak at the hotel, which is at issue in lower-court cases challenging the constitutionality of payments to Mr. Trump’s companies. “At this highly divisive political moment, especially as many Trump decisions are likely soon to reach the court’s docket, one just days later, a healthy respect for public confidence in the court should have led Justice Gorsuch to demur,” he said. Justice Gorsuch declined to comment, said Kathleen L. Arberg, the Supreme Court’s public information officer. Experts in legal ethics were divided about whether Justice Gorsuch’s appearance at the hotel was appropriate. Steven Lubet, a law professor at Northwestern University, said that Mr. Trump’s ownership interest in the hotel was problematic but that Justice Gorsuch’s appearance there was not. "
2,"When Senator Robert Menendez of New Jersey goes on trial on federal corruption charges in less than three weeks, far more than his own fate hinges on the outcome. If Mr. Menendez, a Democrat, is convicted and then expelled from the United States Senate by early January, his replacement would be picked by Gov. Chris Christie, the Republican governor of New Jersey and an ally of President Trump. That scenario — where Mr. Menendez’s interim replacement would more than likely be a Republican — would have immediate and far-reaching implications: The Republicans would be gifted a crucial extra vote just as the party remains a single vote shy in the Senate of advancing its bill to dismantle President Obama’s signature health care law. Those potential consequences only heighten the drama around the first federal bribery charges leveled against a sitting senator in a generation. “This one vote, this one vote — if he’s convicted or does a plea deal — could change the course of history on Obamacare. It’s remarkable,” said Steve Lonegan, a New Jersey Republican who unsuccessfully ran for Senate three years ago. He added, “That’s a big ‘if.’” It’s enough to have Democrats anxious. “Many of us have a personal concern about Bob Menendez,” said Robert G. Torricelli, a former Democratic senator of New Jersey. “But there’s also an overriding concern about the Republicans’ strengthening their control in the Senate and, in the near term, being able to repeal Obamacare and 16 million people losing their health care.” Mr. Menendez stands accused of using his position to advance the interests of Dr. Salomon Melgen, a friend and political patron, in exchange for luxury vacations and hundreds of thousands of dollars of campaign support. "
3,"Carl Paladino, once a Republican candidate for governor of New York, was removed from the Buffalo school board on Thursday by the state education commissioner for revealing confidential information about collective bargaining negotiations with the city’s teachers union. In December, Mr. Paladino made national headlines for racist remarks about Barack and Michelle Obama that he sent a local publication called Artvoice. Asked in a survey what he’d like to see “go away in 2017,” Mr. Paladino said, among other things, that he would like to see Mrs. Obama “return to being a male and let loose in the outback of Zimbabwe where she lives comfortably in a cave with Maxie, the gorilla.” Days after the article was published, the school board adopted a resolution demanding that Mr. Paladino resign within 24 hours. In a move that came as little surprise to observers, he did not. The board went on to ask the State Education Department to remove him — but not for his inflammatory remarks. The board said he should lose his post because in a separate article he wrote for Artvoice he revealed confidential information about contract negotiations that had been discussed and approved in the fall. Mr. Paladino responded with a lawsuit that said the attempt to remove him was retaliation for his comments about the Obamas, a violation of his First Amendment rights. A wealthy real estate developer, Mr. Paladino shocked the state’s Republican Party by securing its nomination for governor in 2010. He ran against Gov. Andrew M. Cuomo as a fighter with salty disdain for political correctness, and a man who would take a baseball bat to the political establishment in Albany. Mr. Cuomo trounced Mr. Paladino on Election Day. "
4,"Updated: Aug. 31, 2017 This summer has produced dramatic headlines around the globe, from the violence in Charlottesville, Va., to the battle for Mosul in Iraq to the economic and political crisis in Venezuela — as well as a steady stream of sensational news coming from the White House. Here are 51 questions to help you remember and learn more. Try to answer them all without looking at the word bank at the bottom of the post. We will continue to update this post with the top news stories from now until Sept. 1. Then, starting Sept. 12, our regular 10-question interactive Weekly News Quiz will resume and publish most Tuesday mornings throughout the school year. _________ Directions: Clicking each blank in this quiz will take you to the original Times source for that entry so you can check your answer. 1. President Trump announced on June 1 that the United States would withdraw from the _________, weakening efforts to combat global warming and embracing isolationist voices in his White House who argued that the agreement was a pernicious threat to the economy and American sovereignty. "
5,"The “Unite the Right” rally in Charlottesville, Va., that exploded into chaos and violence that culminated in the death of a 32-year-old woman, ended in a matter of hours. The onslaught of media reports about Saturday’s demonstration by white nationalists and its fallout, however, has stretched on for days. And there are few signs it will stop anytime soon. Indeed, some of the coverage itself has become news — or at least commanded the internet’s fleeting attention. There was a horrifying still photograph of the violence, a chilling documentary video, and of course, a series of defiant tweets from President Trump that continued into Thursday. And then there was Tuesday’s news conference — a combative give-and-take between the news media and Mr. Trump, which Kyle Pope, the editor and publisher of the Columbia Journalism Review, described as “a moment that’s going to have a legacy.” “Trump has already forced several moments of reckoning on journalists,” Mr. Pope said. “What happened this weekend is another one of these seminal moments, another step in this very odd progression.” Taken together, the frenetic, disjointed ways the most striking media moments from Charlottesville and its aftermath unfolded and went viral — across many mediums and at lightning speed — seems emblematic of the way we consume news today. "
6,"When Donald Trump first announced his presidential campaign, I, like most people, thought it would be a short-lived publicity stunt. A month later, though, I happened to catch one of his political rallies on C-Span. I was riveted. I supported the Republican in dozens of articles, radio and TV appearances, even as conservative friends and colleagues said I had to be kidding. As early as September 2015, I wrote that Mr. Trump was “the most serious candidate in the race.” Critics of the pro-Trump blog and then the nonprofit journal that I founded accused us of attempting to “understand Trump better than he understands himself.” I hoped that was the case. I saw the decline in this country — its weak economy and frayed social fabric — and I thought Mr. Trump’s willingness to move past partisan stalemates could begin a process of renewal. It is now clear that my optimism was unfounded. I can’t stand by this disgraceful administration any longer, and I would urge anyone who once supported him as I did to stop defending the 45th president. Far from making America great again, Mr. Trump has betrayed the foundations of our common citizenship. And his actions are jeopardizing any prospect of enacting an agenda that might restore the promise of American life. *** What, you may wonder, especially in the wake of Charlottesville, Va., did I possibly see in this candidate? Although crude and meandering for almost all of the primary campaign, Mr. Trump eschewed strict ideologies and directly addressed themes that the more conventional candidates of both parties preferred to ignore. Rather than recite paeans to American enterprise, he acknowledged that our “information economy” has delivered little wage or productivity growth. He was willing to criticize the bipartisan consensus on trade and pointed out the devastating effects of deindustrialization felt in many communities. He forthrightly addressed the foreign policy failures of both parties, such as the debacles in Iraq and Libya, and rejected the utopian rhetoric of “democracy promotion.” He talked about the issue of widening income inequality — almost unheard of for a Republican candidate — and didn’t pretend that simply cutting taxes or shrinking government would solve the problem. "
7,"Whether it’s the heat you hate or the humidity, an armchair trip might help cure your summer doldrums. We recommend Antarctica — Ashley Shelby’s novel, “South Pole Station,” follows a painter’s adventures in the land of the penguins — or upstate New York, where the family at the center of J. Robert Lennon’s “Broken River” gets caught up in their new home’s not-quite-ghost story. Also on our list this week: Kamila Shamsie’s “Home Fire,” a powerful novel inspired by “Antigone”; Tom Perrotta’s first novel since “The Leftovers”; and Joshua Green’s deeply reported account of Steve Bannon’s alliance with Donald Trump. And if you’d rather really get away from it all, have a look at Robert Wright’s “Why Buddhism Is True: The Science and Philosophy of Meditation and Enlightenment.” Radhika Jones
Editorial Director, Books HOME FIRE, by Kamila Shamsie. (Riverhead Books, $26.) Shamsie’s novel, longlisted for this year’s Man Booker Prize, is a bold retelling of Sophocles’ “Antigone” that follows the lives of three British siblings of Pakistani descent. It plays freely with Sophocles’ drama but hews to its themes: civil disobedience, fidelity and the law, especially as regards burial rights. Our critic Dwight Garner called it an “ingenious and love-struck” book that “builds to one of the most memorable final scenes I’ve read in a novel this century.” REFUGE, by Dina Nayeri. (Riverhead Books, $27.) Niloo, the protagonist of Nayeri’s novel, left Iran at 8 years old, along with her mother and brother. It was the last time she shared a home with her father. She has seen him just four times over the course of the last 22 years. The strains and indignities that come with remaking a life give Niloo’s story poignancy and relevance. Our critic Jennifer Senior said the novel “has the kind of immediacy commonly associated with memoir, which lends it heft, intimacy, atmosphere.” MRS. FLETCHER, by Tom Perrotta. (Scribner, $26.) Perrotta’s seventh novel — his first since 2011’s “The Leftovers” — succeeds in ways that will be pleasingly familiar to his admirers. The story of a divorced mother and her college-age son, both navigating the pursuit and pitfalls of sexual pleasure, it is the sweetest and most charming novel about pornography addiction and the harrowing issues of sexual consent that you will ever read. BROKEN RIVER, by J. Robert Lennon. (Graywolf, paper, $16.) This crafty, seductive novel, Lennon’s eighth, is not quite a ghost story, but it does involve a mysterious entity called the Observer. A budding novelist’s research into the unsolved murder that took place in the house where her family has moved attracts the attention of the killers. As the plot thickens, Lennon’s novel becomes a playful, sophisticated meditation on storytelling itself. SOUTH POLE STATION, by Ashley Shelby. (Picador, $26.) A painter spends a year at the South Pole as part of a National Science Foundation program in Shelby’s ramblingly entertaining first novel. The back stories of the ensemble cast provide a vivid notion of what it’s like to live in the dark, frigid landscape — one that heats up with the arrival of a climate-change denier. "
8,"WASHINGTON — Kara Young, a model who dated Donald J. Trump for two years before he married another model named Melania Knauss, remembers clearly bringing up her race with the real estate tycoon early in their relationship. As with so many issues, he steered the conversation to celebrity. “I didn’t hide my race from Donald Trump. He knew,” Ms. Young said in a rare interview. “He would say, ‘You’re like Derek Jeter.’ And I would say, ‘Exactly.’” “I never heard him say a disparaging comment towards any race of people,” she added. The furor that Mr. Trump has created with his equivocation over the violence this weekend at a white supremacist march in Charlottesville, Va., has refocused attention on the president’s relationship with matters of race. Long before he embarked on his improbable political career, he had courted racial controversy, calling for the death penalty for five black and Latino teens who were later shown to have been wrongly convicted of a rape in Central Park, settling a Justice Department suit that charged the family business with housing discrimination and falsely accusing the nation’s first black president of being born in Kenya. Beyond dating a biracial woman, he made outsize efforts to hang out publicly with African-American celebrities: the boxing promoter Don King, the hip-hop impresarios Kanye West, Russell Simmons and Sean Combs, and celebrities as big as Muhammad Ali, James Brown and Michael Jackson. But more than ever, the question is being asked: Is Mr. Trump personally racist? The few African-Americans in his inner circle respond with an emphatic no. Most privately describe him as a 71-year-old man with fixed views and a cloistered history, raised in a heavily white enclave in Queens, who came of age and built a tower in the Manhattan sky when New York City was roiling with racial strife. “Just because you’re a nationalist and you’re white doesn’t make you a white nationalist,” said Katrina Pierson, an African-American who was a spokeswoman for Mr. Trump’s presidential campaign. “Putting Americans first makes you a nationalist and in that case, I’m a nationalist. I think we should take care of our families and our children first.” "
9,"To the Editor: Ross Douthat’s column “An Elusive Immigration Compromise” (Aug. 6) and your editorial “A Senseless Immigration Proposal” (Aug. 7) disagree about the merits of the immigration reform bill introduced by Senators Tom Cotton of Arkansas and David Perdue of Georgia and endorsed by President Trump, but each defends its position in terms of a cost-benefit analysis. Cases made in these terms are tantamount to saying that our society should admit immigrants primarily, if not exclusively, for our own benefit. By contrast, some of us are convinced, either for religious or humanitarian reasons, that every person in deep physical or psychological need is morally entitled to whatever help we can reasonably give. Refugees and asylum seekers have a prima facie moral entitlement to that help. Unquestionably, we as a society are unable to satisfy all such valid claims, but that does not diminish the claims’ validity. We have an obligation to seek ways to increase our ability to take in more of these people, even if it is economically or emotionally costly for us to do so. BERNARD P. DAUENHAUER
MONTGOMERY, OHIO To the Editor: The Senate immigration bill that your editorial denounces is similar to what Barbara Jordan proposed while running a commission on immigration reform under President Bill Clinton. Contrary to your editorial, the bill would benefit low-wage American workers. Calculations from numbers from last year’s National Academy of Sciences study on immigration show that current mass immigration results in a transfer of nearly half a trillion dollars annually from low-wage American workers to business owners. The oversupply of low-skilled labor enables business owners to greatly reduce wages. Thus, while you claim that immigration as usual would grow the economy, you don’t mention the issue of who benefits and who loses: business owners and workers, respectively. You also don’t mention the National Academy of Sciences’ finding that low-skilled immigrants are a net fiscal burden, wiping out most of the economy’s gains, as George Borjas, a Harvard professor, wrote in these pages in February. Ironically, if the recommendations of Ms. Jordan’s commission had been followed, Donald Trump, who campaigned chiefly on an immigration crackdown, would have probably never gained the White House. DAVID C. HOLZMAN
LEXINGTON, MASS. To the Editor: Your editorial opposing President Trump’s endorsement of a bill that would slash immigration limits is slightly off the mark. It asserts that this endorsement, like his opposition to transgender people serving in the military and his encouragement of overly aggressive police behavior, is primarily aimed at recapturing his base. This conjures an image of the president deliberately formulating political strategy, and it is far from obvious that our president is capable of such rational action. To the contrary, I believe that our president is the genuine article — a genuine nativist, a genuine bigot, a genuine bully. Although his positions may be pleasing to his base, they are primarily, as it is said, Trump being Trump. ALAN STEVENS, BELLPORT, N.Y. "
